date,year,month,city,region,product,category,revenue,units_sold,cost,profit
2023-08-02,2023,8,Chennai,South,D,Electronics,16275.01,49,10815.35,5459.66
2023-08-11,2023,8,Bangalore,South,B,Clothing,3342.22,41,2265.1,1077.12
2021-05-19,2021,5,Kolkata,East,B,Clothing,12453.49,46,9529.4,2924.09
2021-02-09,2021,2,Bangalore,South,D,Electronics,13279.19,38,7899.79,5379.4
2022-04-30,2022,4,Delhi,North,A,Electronics,15478.1,48,9945.36,5532.74
2021-01-16,2021,1,Chennai,South,D,Electronics,14285.61,36,7678.63,6606.99
2021-06-09,2021,6,Kolkata,East,B,Clothing,8232.56,65,4412.66,3819.9
2021-05-11,2021,5,Chennai,South,D,Electronics,8238.73,43,5865.71,2373.02
2023-07-12,2023,7,Kolkata,East,D,Electronics,8543.81,42,5994.06,2549.75
2021-12-13,2021,12,Mumbai,West,B,Clothing,12656.45,30,8102.05,4554.39
2023-11-06,2023,11,Bangalore,South,A,Electronics,27019.23,49,15171.98,11847.24
2022-01-18,2022,1,Mumbai,West,A,Electronics,20891.63,51,11437.14,9454.49
2021-11-24,2021,11,Chennai,South,A,Electronics,26349.68,47,19978.83,6370.85
2021-10-26,2021,10,Mumbai,West,B,Clothing,20863.46,44,12108.5,8754.96
2023-09-07,2023,9,Kolkata,East,A,Electronics,11675.3,34,9336.01,2339.29
2021-05-28,2021,5,Bangalore,South,D,Electronics,13041.73,42,8413.56,4628.17
2022-11-28,2022,11,Mumbai,West,C,Grocery,10337.09,64,8182.17,2154.93
2022-12-01,2022,12,Kolkata,East,B,Clothing,15621.47,58,8908.15,6713.32
2021-10-10,2021,10,Kolkata,East,D,Electronics,10631.28,60,7311.13,3320.15
2023-12-12,2023,12,Mumbai,West,A,Electronics,28542.13,56,15045.29,13496.84
2022-07-01,2022,7,Bangalore,South,B,Clothing,8320.4,55,5937.46,2382.94
2021-06-12,2021,6,Bangalore,South,C,Grocery,8171.35,47,4146.14,4025.21
2022-09-05,2022,9,Bangalore,South,B,Clothing,11854.0,24,6158.53,5695.48
2021-12-27,2021,12,Bangalore,South,D,Electronics,16318.06,52,8958.56,7359.5
2021-08-23,2021,8,Bangalore,South,D,Electronics,13664.09,46,8148.72,5515.37
2023-05-15,2023,5,Mumbai,West,C,Grocery,9859.11,40,5469.79,4389.32
2021-05-22,2021,5,Delhi,North,C,Grocery,5705.28,41,3264.04,2441.25
2023-06-08,2023,6,Chennai,South,A,Electronics,14736.93,56,8263.59,6473.34
2021-09-28,2021,9,Mumbai,West,B,Clothing,13538.25,43,7477.6,6060.65
2023-01-27,2023,1,Kolkata,East,D,Electronics,15840.25,51,9992.26,5847.99
2022-01-07,2022,1,Mumbai,West,A,Electronics,18497.5,52,10752.39,7745.11
2023-01-05,2023,1,Kolkata,East,C,Grocery,4846.78,61,2617.08,2229.7
2023-12-07,2023,12,Delhi,North,B,Clothing,14735.56,48,11735.28,3000.29
2023-05-31,2023,5,Chennai,South,B,Clothing,12331.11,63,6974.93,5356.18
2022-07-21,2022,7,Mumbai,West,A,Electronics,14962.48,52,8913.04,6049.44
2022-05-29,2022,5,Delhi,North,A,Electronics,25994.46,50,16978.83,9015.63
2022-05-22,2022,5,Chennai,South,D,Electronics,12494.22,63,6809.13,5685.09
2022-01-26,2022,1,Kolkata,East,B,Clothing,8648.2,55,4600.37,4047.84
2022-11-30,2022,11,Chennai,South,C,Grocery,11526.83,51,6013.67,5513.16
2023-11-12,2023,11,Bangalore,South,B,Clothing,17180.46,33,11284.84,5895.62
2022-09-13,2022,9,Bangalore,South,D,Electronics,17026.08,57,9542.07,7484.01
2022-04-20,2022,4,Delhi,North,B,Clothing,11997.95,58,8550.85,3447.1
2022-12-30,2022,12,Kolkata,East,D,Electronics,18406.17,47,10465.8,7940.37
2023-08-03,2023,8,Mumbai,West,A,Electronics,11706.45,42,8788.94,2917.52
2023-04-18,2023,4,Mumbai,West,A,Electronics,19663.39,76,14983.81,4679.59
2023-09-06,2023,9,Chennai,South,A,Electronics,11015.94,49,7203.55,3812.39
2022-05-14,2022,5,Kolkata,East,C,Grocery,5197.54,56,3329.69,1867.85
2023-06-09,2023,6,Mumbai,West,D,Electronics,19446.68,45,11994.11,7452.57
2021-02-10,2021,2,Mumbai,West,B,Clothing,11118.09,55,8715.94,2402.15
2022-08-02,2022,8,Delhi,North,D,Electronics,14682.34,47,10051.66,4630.68
2021-05-10,2021,5,Delhi,North,D,Electronics,16817.94,48,9835.14,6982.81
2022-07-12,2022,7,Chennai,South,A,Electronics,13976.69,49,8714.28,5262.41
2023-03-14,2023,3,Bangalore,South,A,Electronics,18185.61,60,13436.85,4748.77
2023-01-20,2023,1,Bangalore,South,B,Clothing,10198.98,37,5461.14,4737.84
2022-08-03,2022,8,Bangalore,South,A,Electronics,17430.45,35,12830.85,4599.6
2021-02-26,2021,2,Bangalore,South,A,Electronics,23526.21,51,15739.25,7786.97
2022-01-31,2022,1,Chennai,South,A,Electronics,17812.84,45,12977.4,4835.45
2023-11-03,2023,11,Chennai,South,C,Grocery,8695.76,53,4618.86,4076.9
2021-09-07,2021,9,Chennai,South,B,Clothing,14104.15,32,9042.9,5061.25
2021-10-06,2021,10,Mumbai,West,D,Electronics,22134.52,20,16796.1,5338.42
2021-03-30,2021,3,Delhi,North,D,Electronics,13892.82,48,8941.47,4951.34
2022-12-03,2022,12,Mumbai,West,C,Grocery,12092.26,43,6590.03,5502.23
2021-10-04,2021,10,Bangalore,South,C,Grocery,10490.99,50,8313.79,2177.21
2023-02-20,2023,2,Kolkata,East,D,Electronics,9139.46,73,6742.21,2397.25
2022-04-22,2022,4,Delhi,North,A,Electronics,19166.61,38,10448.52,8718.09
2021-12-08,2021,12,Kolkata,East,C,Grocery,9730.92,37,5239.8,4491.12
2022-10-15,2022,10,Delhi,North,B,Clothing,19878.66,74,14969.27,4909.39
2023-11-19,2023,11,Bangalore,South,B,Clothing,13915.4,44,8877.38,5038.02
2021-03-23,2021,3,Delhi,North,B,Clothing,15087.97,38,8128.02,6959.95
2023-06-26,2023,6,Mumbai,West,D,Electronics,12321.4,49,8455.16,3866.24
2023-01-25,2023,1,Mumbai,West,D,Electronics,16830.33,64,11602.2,5228.12
2021-10-09,2021,10,Delhi,North,A,Electronics,24047.86,40,15579.63,8468.23
2023-02-23,2023,2,Chennai,South,C,Grocery,5769.66,49,4609.78,1159.88
2023-03-12,2023,3,Chennai,South,B,Clothing,5958.81,51,3735.89,2222.92
2021-10-01,2021,10,Delhi,North,C,Grocery,12121.27,40,7153.26,4968.01
2023-04-17,2023,4,Bangalore,South,B,Clothing,15191.41,43,9672.61,5518.8
2021-03-28,2021,3,Bangalore,South,C,Grocery,6599.68,51,3591.78,3007.9
2022-11-25,2022,11,Kolkata,East,D,Electronics,13870.19,38,7699.95,6170.24
2023-08-15,2023,8,Delhi,North,B,Clothing,11316.17,61,8984.66,2331.5
2023-02-06,2023,2,Kolkata,East,C,Grocery,7072.0,55,3737.0,3335.0
2023-10-04,2023,10,Chennai,South,D,Electronics,20307.3,54,13916.76,6390.54
2023-08-15,2023,8,Kolkata,East,A,Electronics,15374.73,35,11945.73,3429.0
2022-06-07,2022,6,Kolkata,East,C,Grocery,3297.33,44,1725.15,1572.18
2022-05-14,2022,5,Bangalore,South,C,Grocery,7004.09,65,5593.92,1410.17
2023-08-31,2023,8,Kolkata,East,B,Clothing,9150.27,44,5653.66,3496.6
2021-08-12,2021,8,Chennai,South,C,Grocery,7388.43,64,3826.24,3562.18
2021-08-17,2021,8,Delhi,North,D,Electronics,14845.21,41,10849.08,3996.13
2022-02-14,2022,2,Kolkata,East,B,Clothing,9449.47,17,5301.49,4147.98
2021-11-06,2021,11,Mumbai,West,B,Clothing,21035.49,25,14273.41,6762.08
2023-07-18,2023,7,Mumbai,West,A,Electronics,17503.35,23,11255.11,6248.24
2021-07-27,2021,7,Chennai,South,A,Electronics,15328.21,49,9326.86,6001.35
2022-05-19,2022,5,Kolkata,East,C,Grocery,4229.48,46,2313.53,1915.95
2022-11-15,2022,11,Bangalore,South,C,Grocery,14403.73,49,9633.22,4770.52
2021-04-03,2021,4,Delhi,North,D,Electronics,12458.81,55,8620.9,3837.91
2021-08-31,2021,8,Delhi,North,B,Clothing,8757.42,41,5721.5,3035.92
2023-04-21,2023,4,Bangalore,South,C,Grocery,6586.32,53,3421.68,3164.64
2023-02-04,2023,2,Delhi,North,C,Grocery,12520.81,60,6457.93,6062.87
2022-03-07,2022,3,Chennai,South,D,Electronics,11947.84,30,7461.71,4486.14
2022-07-13,2022,7,Mumbai,West,D,Electronics,10934.77,37,7429.72,3505.05
2022-05-18,2022,5,Bangalore,South,C,Grocery,10224.71,43,6697.57,3527.14
2022-03-09,2022,3,Mumbai,West,B,Clothing,14314.53,64,10714.88,3599.65
2023-05-02,2023,5,Mumbai,West,D,Electronics,16213.33,53,8959.76,7253.57
2021-02-06,2021,2,Kolkata,East,B,Clothing,6175.1,43,3330.83,2844.27
2021-02-03,2021,2,Kolkata,East,B,Clothing,11134.27,57,6452.46,4681.8
2023-02-01,2023,2,Bangalore,South,D,Electronics,13451.53,40,10645.38,2806.14
2022-09-16,2022,9,Delhi,North,D,Electronics,20293.44,51,14127.71,6165.73
2021-03-05,2021,3,Mumbai,West,A,Electronics,19675.77,29,15700.79,3974.98
2023-11-03,2023,11,Bangalore,South,B,Clothing,10720.34,45,6505.01,4215.33
2023-12-26,2023,12,Delhi,North,A,Electronics,22522.16,59,14260.95,8261.2
2021-04-21,2021,4,Kolkata,East,D,Electronics,12270.16,39,7175.16,5095.0
2023-06-03,2023,6,Mumbai,West,A,Electronics,16902.12,55,12726.67,4175.46
2022-01-03,2022,1,Bangalore,South,D,Electronics,19769.23,60,12544.24,7224.99
2021-09-26,2021,9,Delhi,North,C,Grocery,6759.36,53,4087.36,2672.0
2022-03-24,2022,3,Kolkata,East,C,Grocery,5087.71,68,3065.39,2022.32
2023-11-10,2023,11,Chennai,South,A,Electronics,26761.82,51,20575.22,6186.6
2023-12-24,2023,12,Bangalore,South,D,Electronics,18234.79,45,13102.48,5132.31
2023-09-28,2023,9,Kolkata,East,A,Electronics,9498.4,51,5017.6,4480.8
2022-09-30,2022,9,Kolkata,East,A,Electronics,16733.9,53,11104.68,5629.23
2021-09-25,2021,9,Bangalore,South,B,Clothing,13780.15,41,9613.01,4167.14
2023-09-24,2023,9,Mumbai,West,C,Grocery,9371.94,47,7297.39,2074.55
2021-08-25,2021,8,Bangalore,South,B,Clothing,12262.22,48,9304.29,2957.93
2023-03-27,2023,3,Delhi,North,B,Clothing,12623.3,31,9493.2,3130.1
2021-09-28,2021,9,Delhi,North,B,Clothing,11319.5,56,6101.77,5217.74
2022-08-02,2022,8,Delhi,North,B,Clothing,8487.3,46,5404.41,3082.89
2023-05-27,2023,5,Chennai,South,D,Electronics,13070.6,47,9003.21,4067.39
2023-05-21,2023,5,Bangalore,South,C,Grocery,7521.6,59,4386.35,3135.25
2022-10-08,2022,10,Bangalore,South,A,Electronics,26169.53,62,15384.91,10784.62
2023-05-01,2023,5,Mumbai,West,D,Electronics,17176.32,50,9067.88,8108.45
2023-05-28,2023,5,Kolkata,East,D,Electronics,12873.39,61,9802.29,3071.1
2023-11-22,2023,11,Delhi,North,C,Grocery,10809.63,56,7944.02,2865.6
2022-03-30,2022,3,Kolkata,East,D,Electronics,15525.92,54,9020.57,6505.35
2023-07-29,2023,7,Delhi,North,C,Grocery,6012.94,57,3145.33,2867.61
2021-12-01,2021,12,Delhi,North,A,Electronics,19472.67,52,14315.79,5156.87
2023-04-29,2023,4,Chennai,South,B,Clothing,6543.69,42,3897.3,2646.39
2023-04-26,2023,4,Chennai,South,B,Clothing,8702.17,51,6133.16,2569.01
2023-05-07,2023,5,Delhi,North,C,Grocery,4587.24,47,3173.53,1413.72
2021-04-15,2021,4,Mumbai,West,D,Electronics,16386.97,55,12918.78,3468.18
2022-05-03,2022,5,Kolkata,East,B,Clothing,8207.89,48,6321.93,1885.96
2023-08-26,2023,8,Delhi,North,D,Electronics,18039.37,64,11276.3,6763.07
2021-04-05,2021,4,Delhi,North,C,Grocery,7543.14,45,3976.76,3566.38
2021-05-23,2021,5,Chennai,South,C,Grocery,7729.06,46,5202.48,2526.58
2021-09-02,2021,9,Kolkata,East,A,Electronics,14426.28,53,11272.55,3153.74
2023-10-20,2023,10,Bangalore,South,C,Grocery,9080.56,55,5398.63,3681.93
2021-01-05,2021,1,Mumbai,West,A,Electronics,18864.06,57,11036.11,7827.95
2022-12-06,2022,12,Kolkata,East,D,Electronics,17992.85,74,11797.77,6195.08
2021-05-05,2021,5,Chennai,South,C,Grocery,5646.23,49,3233.11,2413.12
2021-06-03,2021,6,Chennai,South,C,Grocery,5908.72,52,3635.63,2273.1
2021-06-08,2021,6,Kolkata,East,A,Electronics,15567.61,72,10422.86,5144.75
2023-03-08,2023,3,Delhi,North,B,Clothing,9815.96,55,5713.74,4102.22
2023-03-10,2023,3,Delhi,North,C,Grocery,11177.03,58,6906.08,4270.95
2021-06-01,2021,6,Delhi,North,A,Electronics,17258.57,66,13735.66,3522.91
2021-10-26,2021,10,Delhi,North,D,Electronics,21566.24,38,15609.46,5956.78
2023-03-20,2023,3,Chennai,South,C,Grocery,6905.57,61,5255.99,1649.58
2022-09-13,2022,9,Delhi,North,B,Clothing,10806.46,59,6221.72,4584.74
2023-03-29,2023,3,Mumbai,West,C,Grocery,7067.17,39,4181.93,2885.24
2021-04-24,2021,4,Kolkata,East,B,Clothing,10797.71,40,7307.26,3490.45
2023-08-21,2023,8,Mumbai,West,A,Electronics,12172.46,51,8057.85,4114.61
2021-11-02,2021,11,Kolkata,East,B,Clothing,14423.5,56,10089.17,4334.33
2022-04-22,2022,4,Bangalore,South,A,Electronics,20362.04,33,13598.27,6763.77
2021-03-27,2021,3,Kolkata,East,A,Electronics,11938.16,49,9264.42,2673.74
2023-12-26,2023,12,Chennai,South,B,Clothing,17264.26,47,13257.69,4006.57
2022-08-20,2022,8,Bangalore,South,B,Clothing,8854.66,55,5442.86,3411.8
2022-09-25,2022,9,Delhi,North,D,Electronics,15509.99,63,11695.07,3814.92
2021-02-23,2021,2,Kolkata,East,A,Electronics,12984.34,46,7438.72,5545.62
2022-09-11,2022,9,Kolkata,East,D,Electronics,13756.89,40,10625.97,3130.92
2023-09-25,2023,9,Chennai,South,C,Grocery,7301.05,35,4041.23,3259.82
2022-06-13,2022,6,Chennai,South,C,Grocery,5529.79,50,4056.43,1473.35
2021-09-25,2021,9,Chennai,South,D,Electronics,9029.03,32,7164.23,1864.8
2022-02-28,2022,2,Delhi,North,A,Electronics,16762.48,51,12588.25,4174.22
2021-04-29,2021,4,Delhi,North,A,Electronics,18897.51,60,12742.31,6155.2
2023-08-18,2023,8,Kolkata,East,B,Clothing,8269.15,55,6240.07,2029.08
2022-01-14,2022,1,Mumbai,West,B,Clothing,12336.46,65,9433.46,2903.01
2022-10-22,2022,10,Chennai,South,B,Clothing,13128.26,49,10326.82,2801.44
2023-06-19,2023,6,Mumbai,West,D,Electronics,18145.2,32,10531.82,7613.38
2021-07-23,2021,7,Bangalore,South,C,Grocery,5942.35,49,3135.07,2807.28
2021-03-26,2021,3,Mumbai,West,B,Clothing,9388.75,54,5797.63,3591.12
2023-02-22,2023,2,Kolkata,East,D,Electronics,11736.71,42,9377.74,2358.97
2023-02-26,2023,2,Chennai,South,B,Clothing,10380.33,54,7261.91,3118.41
2021-02-03,2021,2,Bangalore,South,A,Electronics,13052.13,30,8246.62,4805.51
2021-03-02,2021,3,Bangalore,South,B,Clothing,14899.36,36,10319.08,4580.28
2021-12-07,2021,12,Bangalore,South,A,Electronics,20808.62,48,16454.02,4354.6
2023-02-27,2023,2,Mumbai,West,D,Electronics,15670.27,55,8216.8,7453.46
2023-04-17,2023,4,Delhi,North,A,Electronics,19294.28,25,9710.4,9583.89
2022-04-13,2022,4,Chennai,South,B,Clothing,12194.11,66,6197.39,5996.71
2022-03-01,2022,3,Mumbai,West,C,Grocery,8195.54,47,4676.07,3519.47
2022-12-29,2022,12,Mumbai,West,C,Grocery,11759.11,64,6422.34,5336.77
2021-05-28,2021,5,Bangalore,South,A,Electronics,21363.8,49,13522.99,7840.82
2022-09-06,2022,9,Delhi,North,A,Electronics,22660.68,56,13177.01,9483.67
2023-09-06,2023,9,Delhi,North,C,Grocery,7326.12,26,5059.59,2266.53
2022-10-21,2022,10,Bangalore,South,C,Grocery,14563.96,44,7535.82,7028.14
2021-10-03,2021,10,Mumbai,West,C,Grocery,7509.28,38,5661.73,1847.54
2022-12-02,2022,12,Delhi,North,D,Electronics,20633.63,42,12169.63,8464.0
2023-09-08,2023,9,Kolkata,East,B,Clothing,8740.92,35,6940.53,1800.39
2022-05-27,2022,5,Delhi,North,C,Grocery,7449.43,46,5287.15,2162.28
2021-12-24,2021,12,Mumbai,West,C,Grocery,13062.38,42,8749.26,4313.13
2023-06-18,2023,6,Delhi,North,C,Grocery,5858.35,51,3934.49,1923.85
2022-07-09,2022,7,Chennai,South,B,Clothing,8615.95,58,5630.12,2985.84
2022-10-19,2022,10,Chennai,South,A,Electronics,23023.31,50,12224.99,10798.32
2022-07-24,2022,7,Delhi,North,A,Electronics,13892.2,57,9488.66,4403.54
2023-08-12,2023,8,Kolkata,East,C,Grocery,7380.02,65,4819.73,2560.29
2021-03-25,2021,3,Chennai,South,C,Grocery,5729.15,39,3204.19,2524.96
2023-01-19,2023,1,Kolkata,East,B,Clothing,7745.81,55,4078.29,3667.52
2023-06-27,2023,6,Chennai,South,D,Electronics,10510.41,59,6286.38,4224.03
2023-08-21,2023,8,Mumbai,West,B,Clothing,10127.96,56,7119.93,3008.03
2021-12-31,2021,12,Mumbai,West,B,Clothing,17738.46,64,10508.94,7229.52
2021-08-04,2021,8,Bangalore,South,C,Grocery,6620.98,46,4984.88,1636.1
2022-09-07,2022,9,Chennai,South,A,Electronics,15993.67,55,10575.07,5418.6
2022-09-24,2022,9,Chennai,South,D,Electronics,12663.26,55,9307.36,3355.9
2023-11-27,2023,11,Kolkata,East,B,Clothing,13147.36,45,9033.97,4113.39
2022-01-08,2022,1,Delhi,North,A,Electronics,27321.8,51,19896.13,7425.67
2021-07-05,2021,7,Bangalore,South,B,Clothing,6166.51,41,3894.32,2272.18
2021-09-10,2021,9,Kolkata,East,A,Electronics,13541.8,63,8332.92,5208.88
2021-10-11,2021,10,Delhi,North,A,Electronics,21177.04,60,13298.46,7878.58
2022-08-08,2022,8,Chennai,South,D,Electronics,14339.12,88,10603.62,3735.51
2022-02-08,2022,2,Bangalore,South,C,Grocery,9417.49,47,5155.3,4262.18
2022-03-10,2022,3,Chennai,South,B,Clothing,11580.76,63,6331.57,5249.19
2022-10-08,2022,10,Chennai,South,C,Grocery,6452.09,76,3979.41,2472.68
2022-05-30,2022,5,Kolkata,East,A,Electronics,13876.25,43,9923.05,3953.19
2021-01-15,2021,1,Chennai,South,C,Grocery,6020.56,47,3709.79,2310.77
2022-03-01,2022,3,Mumbai,West,B,Clothing,13557.52,48,10071.09,3486.42
2023-10-24,2023,10,Kolkata,East,A,Electronics,16466.16,61,12340.79,4125.37
2022-05-11,2022,5,Delhi,North,B,Clothing,14710.61,55,10074.3,4636.32
2021-09-26,2021,9,Bangalore,South,D,Electronics,15744.26,58,9803.73,5940.53
2021-03-10,2021,3,Chennai,South,D,Electronics,12214.05,73,8232.84,3981.21
2023-03-01,2023,3,Chennai,South,C,Grocery,7806.4,68,4762.63,3043.77
2023-07-08,2023,7,Kolkata,East,A,Electronics,12280.75,63,6448.61,5832.14
2021-07-04,2021,7,Delhi,North,B,Clothing,4329.98,44,2445.62,1884.35
2023-04-24,2023,4,Delhi,North,A,Electronics,16848.6,66,11522.03,5326.57
2023-08-01,2023,8,Delhi,North,B,Clothing,8330.39,47,5967.59,2362.79
2021-08-04,2021,8,Delhi,North,B,Clothing,9131.74,56,5255.53,3876.21
2021-08-08,2021,8,Delhi,North,C,Grocery,7562.36,42,4529.43,3032.92
2022-04-22,2022,4,Delhi,North,B,Clothing,13092.5,51,7330.46,5762.04
2021-08-08,2021,8,Chennai,South,A,Electronics,18073.04,43,9308.3,8764.74
2022-07-02,2022,7,Chennai,South,C,Grocery,3806.73,57,2560.46,1246.27
2023-01-24,2023,1,Delhi,North,A,Electronics,17028.17,34,11155.77,5872.4
2022-07-29,2022,7,Chennai,South,A,Electronics,12035.31,31,8254.02,3781.29
2023-09-12,2023,9,Mumbai,West,B,Clothing,12493.93,63,9420.65,3073.29
2021-11-27,2021,11,Delhi,North,A,Electronics,13597.86,58,8494.25,5103.61
2022-07-23,2022,7,Mumbai,West,C,Grocery,8201.87,44,4890.83,3311.05
2021-08-02,2021,8,Mumbai,West,D,Electronics,17036.24,58,8901.15,8135.09
2023-12-15,2023,12,Delhi,North,A,Electronics,21904.35,50,12482.36,9421.99
2022-04-07,2022,4,Chennai,South,D,Electronics,14627.42,63,10767.2,3860.22
2023-02-25,2023,2,Kolkata,East,B,Clothing,6607.86,42,3487.57,3120.29
2023-07-05,2023,7,Mumbai,West,A,Electronics,14493.92,45,9240.05,5253.87
2023-02-06,2023,2,Mumbai,West,A,Electronics,13279.05,58,8406.38,4872.67
2023-10-23,2023,10,Bangalore,South,A,Electronics,25067.6,50,18228.98,6838.61
2022-01-10,2022,1,Delhi,North,C,Grocery,6776.69,56,4212.92,2563.76
2021-11-08,2021,11,Delhi,North,B,Clothing,16953.68,39,10736.31,6217.37
2021-11-05,2021,11,Mumbai,West,D,Electronics,28398.47,52,21788.71,6609.75
2021-12-18,2021,12,Bangalore,South,D,Electronics,21032.4,65,12583.77,8448.63
2023-05-10,2023,5,Kolkata,East,C,Grocery,6566.02,45,4337.84,2228.18
2022-04-27,2022,4,Bangalore,South,C,Grocery,9574.38,34,5942.75,3631.63
2022-05-20,2022,5,Kolkata,East,A,Electronics,11528.01,52,5942.74,5585.27
2023-06-05,2023,6,Chennai,South,D,Electronics,9960.62,43,5180.23,4780.39
2022-03-11,2022,3,Kolkata,East,B,Clothing,8363.43,43,4968.67,3394.75
2023-01-18,2023,1,Kolkata,East,B,Clothing,7336.56,52,5056.18,2280.38
2023-11-21,2023,11,Chennai,South,A,Electronics,11523.06,55,7095.42,4427.64
2021-04-13,2021,4,Delhi,North,A,Electronics,17438.35,62,11824.63,5613.72
2022-01-03,2022,1,Mumbai,West,D,Electronics,14450.28,41,10706.79,3743.49
2021-07-15,2021,7,Chennai,South,A,Electronics,11090.83,46,7118.51,3972.31
2022-07-15,2022,7,Mumbai,West,D,Electronics,16138.81,62,8362.86,7775.95
2021-09-26,2021,9,Mumbai,West,C,Grocery,7593.99,39,5194.81,2399.19
2021-06-18,2021,6,Delhi,North,B,Clothing,9631.66,63,5801.67,3829.99
2023-01-04,2023,1,Kolkata,East,C,Grocery,6284.63,42,5014.04,1270.59
2022-02-03,2022,2,Chennai,South,C,Grocery,7131.99,39,5010.5,2121.49
2022-10-18,2022,10,Kolkata,East,D,Electronics,13517.49,46,10146.94,3370.54
2021-08-09,2021,8,Mumbai,West,C,Grocery,7010.26,68,4338.54,2671.72
2023-04-05,2023,4,Mumbai,West,A,Electronics,19343.05,50,10142.48,9200.56
2021-04-13,2021,4,Chennai,South,C,Grocery,5454.83,57,3722.14,1732.69
2021-05-19,2021,5,Chennai,South,B,Clothing,8970.43,52,6807.55,2162.88
2021-03-17,2021,3,Kolkata,East,A,Electronics,13877.86,46,9525.37,4352.49
2023-03-12,2023,3,Delhi,North,A,Electronics,15674.72,36,10379.69,5295.03
2022-04-25,2022,4,Mumbai,West,B,Clothing,17339.58,40,11012.46,6327.12
2021-05-08,2021,5,Mumbai,West,C,Grocery,9639.78,54,4918.79,4721.0
2022-10-05,2022,10,Chennai,South,B,Clothing,16741.93,47,9322.02,7419.91
2022-11-15,2022,11,Delhi,North,C,Grocery,10373.81,58,5554.65,4819.16
2023-05-10,2023,5,Chennai,South,A,Electronics,9863.42,43,6824.5,3038.93
2022-08-23,2022,8,Delhi,North,D,Electronics,16726.72,44,11356.48,5370.23
2022-01-17,2022,1,Mumbai,West,B,Clothing,12836.91,59,9720.33,3116.58
2023-03-02,2023,3,Chennai,South,D,Electronics,10496.9,47,7178.18,3318.71
2023-09-07,2023,9,Mumbai,West,D,Electronics,13835.04,52,9038.14,4796.9
2021-03-27,2021,3,Kolkata,East,B,Clothing,11408.52,58,8154.22,3254.3
2023-09-13,2023,9,Kolkata,East,D,Electronics,10772.81,49,6546.95,4225.86
2021-12-22,2021,12,Kolkata,East,B,Clothing,12847.23,63,7298.47,5548.76
2023-06-22,2023,6,Delhi,North,D,Electronics,14021.55,49,7917.94,6103.6
2021-11-29,2021,11,Chennai,South,C,Grocery,7906.03,51,5013.34,2892.68
2021-06-01,2021,6,Delhi,North,C,Grocery,6683.41,38,4455.12,2228.29
2022-08-22,2022,8,Delhi,North,D,Electronics,12103.49,52,7230.3,4873.19
2023-10-31,2023,10,Chennai,South,A,Electronics,26178.26,46,17355.67,8822.59
2022-11-05,2022,11,Delhi,North,C,Grocery,14626.93,73,11134.16,3492.76
2021-12-20,2021,12,Delhi,North,C,Grocery,13856.43,46,7315.69,6540.74
